Case#,Spacecraft#,Condition,SV1,SV2,SV3,SV4,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BV1
1,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
2,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
3,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
4,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
5,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
6,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
7,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
8,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
9,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
10,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
11,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
12,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
13,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
14,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
15,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
16,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
17,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
18,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
19,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
20,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
21,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
22,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
23,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
24,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
25,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
26,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
27,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
28,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
29,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
30,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
31,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
32,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
33,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
34,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
35,1,Normal,100,100,100,100,No,No,No,No,No,No,No,No
36,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
37,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
38,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
39,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
40,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
41,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
42,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
43,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
44,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
45,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
46,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
47,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
48,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
49,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
50,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
51,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
52,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
53,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
54,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
55,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
56,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
57,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
58,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
59,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
60,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
61,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
62,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
63,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
64,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
65,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
66,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
67,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
68,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
69,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
70,2,Normal,100,100,100,100,No,No,No,No,No,No,No,No
71,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
72,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
73,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
74,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
75,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
76,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
77,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
78,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
79,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
80,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
81,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
82,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
83,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
84,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
85,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
86,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
87,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
88,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
89,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
90,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
91,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
92,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
93,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
94,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
95,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
96,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
97,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
98,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
99,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
100,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
101,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
102,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
103,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
104,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
105,3,Normal,100,100,100,100,No,No,No,No,No,No,No,No
106,1,Fault,0,100,100,100,No,No,No,No,No,No,No,No
107,1,Fault,25,100,100,100,No,No,No,No,No,No,No,No
108,1,Fault,50,100,100,100,No,No,No,No,No,No,No,No
109,1,Fault,75,100,100,100,No,No,No,No,No,No,No,No
110,1,Fault,100,0,100,100,No,No,No,No,No,No,No,No
111,1,Fault,100,25,100,100,No,No,No,No,No,No,No,No
112,1,Fault,100,50,100,100,No,No,No,No,No,No,No,No
113,1,Fault,100,75,100,100,No,No,No,No,No,No,No,No
114,1,Fault,100,100,0,100,No,No,No,No,No,No,No,No
115,1,Fault,100,100,25,100,No,No,No,No,No,No,No,No
116,1,Fault,100,100,50,100,No,No,No,No,No,No,No,No
117,1,Fault,100,100,75,100,No,No,No,No,No,No,No,No
118,1,Fault,100,100,100,0,No,No,No,No,No,No,No,No
119,1,Fault,100,100,100,25,No,No,No,No,No,No,No,No
120,1,Fault,100,100,100,50,No,No,No,No,No,No,No,No
121,1,Fault,100,100,100,75,No,No,No,No,No,No,No,No
122,2,Fault,0,100,100,100,No,No,No,No,No,No,No,No
123,2,Fault,25,100,100,100,No,No,No,No,No,No,No,No
124,2,Fault,50,100,100,100,No,No,No,No,No,No,No,No
125,2,Fault,75,100,100,100,No,No,No,No,No,No,No,No
126,2,Fault,100,0,100,100,No,No,No,No,No,No,No,No
127,2,Fault,100,25,100,100,No,No,No,No,No,No,No,No
128,2,Fault,100,50,100,100,No,No,No,No,No,No,No,No
129,2,Fault,100,75,100,100,No,No,No,No,No,No,No,No
130,2,Fault,100,100,0,100,No,No,No,No,No,No,No,No
131,2,Fault,100,100,25,100,No,No,No,No,No,No,No,No
132,2,Fault,100,100,50,100,No,No,No,No,No,No,No,No
133,2,Fault,100,100,75,100,No,No,No,No,No,No,No,No
134,2,Fault,100,100,100,0,No,No,No,No,No,No,No,No
135,2,Fault,100,100,100,25,No,No,No,No,No,No,No,No
136,2,Fault,100,100,100,50,No,No,No,No,No,No,No,No
137,2,Fault,100,100,100,75,No,No,No,No,No,No,No,No
138,3,Fault,0,100,100,100,No,No,No,No,No,No,No,No
139,3,Fault,25,100,100,100,No,No,No,No,No,No,No,No
140,3,Fault,50,100,100,100,No,No,No,No,No,No,No,No
141,3,Fault,75,100,100,100,No,No,No,No,No,No,No,No
142,3,Fault,100,0,100,100,No,No,No,No,No,No,No,No
143,3,Fault,100,25,100,100,No,No,No,No,No,No,No,No
144,3,Fault,100,50,100,100,No,No,No,No,No,No,No,No
145,3,Fault,100,75,100,100,No,No,No,No,No,No,No,No
146,3,Fault,100,100,0,100,No,No,No,No,No,No,No,No
147,3,Fault,100,100,25,100,No,No,No,No,No,No,No,No
148,3,Fault,100,100,50,100,No,No,No,No,No,No,No,No
149,3,Fault,100,100,75,100,No,No,No,No,No,No,No,No
150,3,Fault,100,100,100,0,No,No,No,No,No,No,No,No
151,3,Fault,100,100,100,25,No,No,No,No,No,No,No,No
152,3,Fault,100,100,100,50,No,No,No,No,No,No,No,No
153,3,Fault,100,100,100,75,No,No,No,No,No,No,No,No
154,1,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
155,1,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
156,1,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
157,1,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
158,1,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
159,1,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
160,1,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
161,1,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
162,2,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
163,2,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
164,2,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
165,2,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
166,2,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
167,2,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
168,2,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
169,2,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
170,3,Anomaly,100,100,100,100,Yes,No,No,No,No,No,No,No
171,3,Anomaly,100,100,100,100,No,Yes,No,No,No,No,No,No
172,3,Anomaly,100,100,100,100,No,No,Yes,No,No,No,No,No
173,3,Anomaly,100,100,100,100,No,No,No,Yes,No,No,No,No
174,3,Anomaly,100,100,100,100,No,No,No,No,Yes,No,No,No
175,3,Anomaly,100,100,100,100,No,No,No,No,No,Yes,No,No
176,3,Anomaly,100,100,100,100,No,No,No,No,No,No,Yes,No
177,3,Anomaly,100,100,100,100,No,No,No,No,No,No,No,Yes
